1;Mercurio;Sessa;nome1.cognome1@mail.com;User1;password1;CNMNMM01A01A000A;1
2;Liana;Carlevaro;nome2.cognome2@mail.com;User2;password2;CNMNMM02A01A000A;1
3;Edmondo;Ventura;nome3.cognome3@mail.com;User3;password3;CNMNMM03A01A000A;2
4;Mariasole;Ricchetti;nome4.cognome4@mail.com;User4;password4;CNMNMM04A01A000A;2
5;Susanna;Sinagra;nome5.cognome5@mail.com;User5;password5;CNMNMM05A01A000A;3
6;Rosina;Selvaggio;nome6.cognome6@mail.com;User6;password6;CNMNMM06A01A000A;3
7;Erika;Nervetti;nome7.cognome7@mail.com;User7;password7;CNMNMM07A01A000A;4
8;Albina;Albero;nome8.cognome8@mail.com;User8;password8;CNMNMM08A01A000A;4
9;Augusto;Allegro;nome9.cognome9@mail.com;User9;password9;CNMNMM09A01A000A;5
10;Serena;Sartini;nom10.cognom10@mail.com;Use10;passwor10;CNMNMM10A01A000A;5
